nohup: 忽略输入
train epoch samples 26208
Class 0: Precision=0.0000, Recall=0.0000, F1=0.0000
Class 1: Precision=0.0000, Recall=0.0000, F1=0.0000
Class 2: Precision=0.0000, Recall=0.0000, F1=0.0000
Class 3: Precision=0.0000, Recall=0.0000, F1=0.0000
Class 4: Precision=0.0000, Recall=0.0000, F1=0.0000
Class 5: Precision=0.0000, Recall=0.0000, F1=0.0000
Class 6: Precision=0.0000, Recall=0.0000, F1=0.0000
Class 7: Precision=0.0000, Recall=0.0000, F1=0.0000
Class 8: Precision=0.0000, Recall=0.0000, F1=0.0000
Class 9: Precision=0.0000, Recall=0.0000, F1=0.0000
Class 10: Precision=0.0000, Recall=0.0000, F1=0.0000
Class 11: Precision=0.0000, Recall=0.0000, F1=0.0000
Class 12: Precision=0.0000, Recall=0.0000, F1=0.0000
Class 13: Precision=0.0000, Recall=0.0000, F1=0.0000
Class 14: Precision=0.5000, Recall=1.0000, F1=0.6667
{'eval_loss': 2.70279598236084, 'eval_epoch samples': 6048, 'eval_15-label-accuracy': 0.5, 'eval_binary_accuracy': 0.5, 'eval_precision': 0.03333333333333333, 'eval_micro_precision': 0.5, 'eval_recall': 0.06666666666666667, 'eval_micro_recall': 0.5, 'eval_f1': 0.04444444444444444, 'eval_micro_f1': 0.5, 'eval_runtime': 6.7545, 'eval_samples_per_second': 895.4, 'eval_steps_per_second': 3.553, 'epoch': 1.0}
Class 0: Precision=0.5910, Recall=0.9167, F1=0.7187
Class 1: Precision=0.6287, Recall=0.5880, F1=0.6077
Class 2: Precision=0.6737, Recall=0.2963, F1=0.4116
Class 3: Precision=0.3333, Recall=0.0046, F1=0.0091
Class 4: Precision=0.7222, Recall=0.5417, F1=0.6190
Class 5: Precision=0.7000, Recall=0.5833, F1=0.6364
Class 6: Precision=0.7044, Recall=0.5185, F1=0.5973
Class 7: Precision=0.5789, Recall=0.3565, F1=0.4413
Class 8: Precision=0.5824, Recall=0.7361, F1=0.6503
